scc_label	size	[raw vertex labels]
6		1	[36306,]
124		1	[36534,]
2		1	[22815,]
0		1	[27417,]
1		1	[27416,]
150		1	[27453,]
5		1	[27397,]
3		1	[27412,]
4		1	[27411,]
181		1	[27414,]
180		1	[27415,]
179		1	[27496,]
137		1	[27418,]
7		1	[27500,]
8		1	[27319,]
9		1	[27318,]
128		1	[27303,]
127		1	[27276,]
126		1	[23216,]
10		1	[28557,]
11		1	[28558,]
168		1	[28387,]
165		1	[23134,]
160		1	[36002,]
172		1	[28362,]
115		1	[28402,]
12		1	[28369,]
13		1	[28217,]
14		1	[28168,]
161		1	[28171,]
163		1	[28259,]
98		1	[28281,]
174		1	[33568,]
171		1	[36524,]
173		1	[28032,]
170		1	[28033,]
15		1	[28123,]
154		1	[28190,]
153		1	[28191,]
65		1	[27811,]
64		1	[27812,]
166		1	[27779,]
167		1	[22595,]
49		1	[27794,]
16		1	[27874,]
75		1	[28401,]
169		1	[28034,]
67		1	[27867,]
68		1	[27866,]
118		1	[28126,]
116		1	[27682,]
117		1	[28112,]
102		1	[27675,]
120		1	[27676,]
17		1	[27761,]
96		1	[35982,]
20		1	[25540,]
18		1	[25567,]
19		1	[25566,]
21		1	[25379,]
108		1	[28122,]
107		1	[25338,]
22		1	[25344,]
23		1	[25445,]
48		1	[28145,]
69		1	[25466,]
152		1	[28483,]
119		1	[25376,]
155		1	[25250,]
111		1	[25265,]
112		1	[25264,]
45		1	[25447,]
24		1	[25266,]
25		1	[23542,]
162		1	[28170,]
39		1	[23048,]
175		1	[22629,]
43		1	[23131,]
44		1	[23130,]
74		1	[27876,]
73		1	[22926,]
113		1	[22844,]
164		1	[28635,]
176		1	[22809,]
88		1	[22810,]
27		1	[27435,]
26		1	[22813,]
122		1	[27399,]
80		1	[22712,]
177		1	[22703,]
56		1	[21399,]
103		1	[21483,]
104		1	[22816,]
57		1	[21501,]
109		1	[31119,]
105		1	[25331,]
58		1	[21174,]
60		1	[28200,]
157		1	[24064,]
106		1	[25263,]
59		1	[21129,]
156		1	[24065,]
77		1	[20911,]
76		1	[20897,]
51		1	[23691,]
148		1	[27282,]
145		1	[20907,]
52		1	[23690,]
149		1	[22557,]
146		6	[24206,27285,27284,24207,24192,24205,]
99		128	[25385,21053,33530,21029,27808,24363,21170,21450,21169,23387,21178,21168,21334,22930,21177,21176,21159,28120,23718,24125,27123,21449,28219,33292,21503,21500,21497,28218,21487,21472,21486,21485,21484,22932,23495,31104,22598,22901,22727,25524,28415,22726,22670,22671,28101,22710,33574,22900,22931,22929,23541,23157,23158,25378,23155,23154,28102,25384,25559,25558,27886,25459,25387,28021,25346,25347,25359,25345,25358,28264,28103,25380,25381,27122,28410,28408,25377,28409,25388,25386,28425,27095,25556,25555,25583,25568,28283,27894,25481,25480,28501,25526,26934,25513,25514,25512,27664,27665,26933,27679,26853,27677,28508,27674,27672,27673,27655,27809,27810,27822,27823,27821,28292,27820,28099,28100,28035,28036,28545,28413,33569,36024,28509,28521,28520,26854,26920,33291,]
95		1	[25482,]
142		1	[20899,]
93		1	[23682,]
140		1	[20901,]
71		1	[33189,]
78		11	[20875,20876,20919,23834,20874,20873,20918,23730,24203,23786,27461,]
100		1	[23729,]
53		1	[23689,]
147		1	[20905,]
50		1	[23864,]
55		1	[27436,]
182		1	[0,]
85		1	[23832,]
83		1	[27607,]
94		1	[23681,]
141		1	[20898,]
86		1	[33675,]
92		1	[23683,]
139		1	[20896,]
42		1	[25464,]
70		1	[21044,]
143		1	[22691,]
46		1	[24492,]
138		1	[20910,]
41		1	[24052,]
97		1	[28282,]
144		1	[20908,]
47		1	[28169,]
101		1	[23728,]
54		1	[24321,]
151		1	[27420,]
66		1	[28072,]
121		1	[23743,]
79		1	[20917,]
81		1	[23811,]
178		1	[27497,]
82		1	[23809,]
84		1	[23833,]
87		1	[27396,]
125		5	[27295,27294,27292,27431,27293,]
28		1	[22804,]
129		1	[27290,]
32		1	[22680,]
158		1	[22841,]
61		1	[22627,]
159		1	[28462,]
62		1	[28470,]
132		1	[24324,]
35		1	[24491,]
131		1	[24325,]
34		1	[22610,]
133		1	[24323,]
36		1	[24531,]
135		1	[36305,]
38		1	[22579,]
134		1	[24322,]
37		1	[28175,]
40		1	[22898,]
110		1	[28469,]
63		1	[36525,]
72		1	[28029,]
33		1	[22663,]
130		1	[27398,]
31		1	[22688,]
30		1	[22702,]
29		1	[22701,]
123		1	[22700,]
136		1	[27498,]
89		1	[22878,]
91		1	[27499,]
90		1	[22877,]
114		1	[28403,]
